subject_id,subject_name,tutor
1,Electrical and Electronic Engineering,Tutor930
2,Economics,Tutor177
3,Biological Sciences,Tutor962
4,Geography and Environmental Sciences,Tutor270
5,Agriculture and Forestry,Tutor893
6,History of Art Architecture and Design,Tutor756
7,Physics and Astronomy,Tutor799
8,Architecture,Tutor884
9,Computer Science,Tutor253
10,Electrical and Electronic Engineering,Tutor106
11,Health And Social Care,Tutor483
12,Chemical Engineering,Tutor91
13,Accounting and Finance,Tutor226
14,Veterinary Medicine,Tutor882
15,Civil Engineering,Tutor890
16,Physics and Astronomy,Tutor569
17,Health And Social Care,Tutor911
18,Aeronautical and Manufacturing Engineering,Tutor848
19,Art and Design,Tutor299
20,Art and Design,Tutor677
21,Art and Design,Tutor640
22,Mathematics,Tutor297
23,Computer Science,Tutor136
24,Complementary Medicine,Tutor467
25,Music,Tutor867
26,Drama Dance and Cinematics,Tutor19
27,Fashion,Tutor4
28,Music,Tutor997
29,Robotics,Tutor977
30,Film Making,Tutor695
31,Occupational Therapy,Tutor5
32,History,Tutor97
33,Anatomy and Physiology,Tutor3
34,Social Policy,Tutor96
35,English,Tutor993
36,Politics,Tutor775
37,Art and Design,Tutor503
38,Dentistry,Tutor851
39,Aeronautical and Manufacturing Engineering,Tutor698
40,Aeronautical and Manufacturing Engineering,Tutor810
41,History of Art Architecture and Design,Tutor602
42,English,Tutor863
43,Materials Technology,Tutor428
44,Food Science,Tutor396
45,Criminology,Tutor556
46,Music,Tutor668
47,Sociology,Tutor731
48,Food Science,Tutor387
49,Aeronautical and Manufacturing Engineering,Tutor89
50,Forensic Science,Tutor109
51,Social Policy,Tutor632
52,Education,Tutor40
53,English,Tutor972
54,Sociology,Tutor840
55,Aeronautical and Manufacturing Engineering,Tutor754
56,Forensic Science,Tutor77
57,Forensic Science,Tutor772
58,Dentistry,Tutor410
59,Law,Tutor663
60,Information Technology,Tutor372
61,Nursing,Tutor513
62,Chemistry,Tutor629
63,Mathematics,Tutor18
64,Philosophy,Tutor644
65,Robotics,Tutor582
66,Fashion,Tutor227
67,Sociology,Tutor452
68,Geography and Environmental Sciences,Tutor861
69,Forensic Science,Tutor310
70,Biological Sciences,Tutor346
71,Mathematics,Tutor317
72,Civil Engineering,Tutor768
73,English,Tutor8
74,Marketing,Tutor311
75,Anatomy and Physiology,Tutor673
76,History,Tutor449
77,Mechanical Engineering,Tutor436
78,Geography and Environmental Sciences,Tutor261
79,Music,Tutor205
80,Chemical Engineering,Tutor55
